상품명,가격,할인율,평점,용량,원재료명및함량,URL
조이스텝 골드 (105일) (원산지:상세설명참조),"162,000원",10%,4.9,,"타마린드강황주정추출복합물(Tamaflexⓡ)(타마린드추출물, 강황추출물, 결정젤룰로스, 인산화규소/인도산), 건조효모(크롬), 비타민D3혼합제제(비타민D3, 아라비아검, 자당, 옥수수전분, 중쇄중성지방, 이산화규소, 비타민E), 산화아연, 결정셀룰로스, 흰버드나무추출분말(인도산), 혼합제제(히드록시프로필메틸셀룰로스, 이소말토, 탄산칼슘, 스테아린산), 가교카복시메틸셀룰로스나트륨, 치커리뿌리추출분말(벨기에산), 제삼인산칼슘, 스테아린산마그네슘, 비타민k2혼합분말, 치자황색소, 연어코연골분말, 필발열매추출분말, 구아검",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63889
슈퍼콜라겐 플래티넘(70일) (원산지:상세설명참조),"324,000원",10%,4.9,용량 넉넉해요,"AP콜라겐효소분해펩타이드, 비타민C, 히알루론산, 셀레늄혼합제제(아셀렌산나트륨, 옥수수말토덱스트린), 비타민B6염산염, 비오틴, 정제수, 저분자피쉬콜라겐펩타이드(베트남산), 자일리톨(감미료), 글루코노-δ-락톤, 효모추출물GT(중국산), 결정셀룰로스, 구연산, 제삼인산칼슘, 밀크세라마이드(유청분말(미국산)), 히드록시프로필메틸셀룰로오스혼합제제(히드록시프로필메틸셀룰로스, 이소말트(감미료), 탄산칼슘, 스테아린산), 연어추출물, 망고패션프루츠향(프로필렌글리콜, 합성향료, 트리아세틴), 치커리뿌리추출물, 펙틴, 맥아추출물분말, 스테아린산마그네슘, 병풀잎추출물분말, 가교카복시메틸셀룰로스나트륨, 마스킹향(프로필렌글리콜, 합성향료), 히드록시프로필셀룰로스 혼합제제(히드록시프로필셀룰로스, 이산화규소), 스테아린산마그네슘, 효소처리스테비아(감미료), 말토덱스트린혼합제제(말토덱스트린, 해바라기레시틴, 팜올레인유, 구아검), 스테아린산, 젤란검, L-시스테인염산염, 홍화황색소(홍화황색소, 덱스트린), 엘라스틴펩타이드, 구아검, 홍화황색소용액(정제수, 프로필렌글리콜, 홍화황색소), 녹차다당분말 우유함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63758
슈퍼콜라겐 플래티넘(30일) (원산지:상세설명참조),"162,000원",10%,4.8,적당해요,"AP콜라겐효소분해펩타이드, 비타민C, 히알루론산, 셀레늄혼합제제(아셀렌산나트륨, 옥수수말토덱스트린), 비타민B6염산염, 비오틴, 정제수, 저분자피쉬콜라겐펩타이드(베트남산), 자일리톨(감미료), 글루코노-δ-락톤, 효모추출물GT(중국산), 결정셀룰로스, 구연산, 제삼인산칼슘, 밀크세라마이드(유청분말(미국산)), 히드록시프로필메틸셀룰로오스혼합제제(히드록시프로필메틸셀룰로스, 이소말트(감미료), 탄산칼슘, 스테아린산), 연어추출물, 망고패션프루츠향(프로필렌글리콜, 합성향료, 트리아세틴), 치커리뿌리추출물, 펙틴, 맥아추출물분말, 스테아린산마그네슘, 병풀잎추출물분말, 가교카복시메틸셀룰로스나트륨, 마스킹향(프로필렌글리콜, 합성향료), 히드록시프로필셀룰로스 혼합제제(히드록시프로필셀룰로스, 이산화규소), 스테아린산마그네슘, 효소처리스테비아(감미료), 말토덱스트린혼합제제(말토덱스트린, 해바라기레시틴, 팜올레인유, 구아검), 스테아린산, 젤란검, L-시스테인염산염, 홍화황색소(홍화황색소, 덱스트린), 엘라스틴펩타이드, 구아검, 홍화황색소용액(정제수, 프로필렌글리콜, 홍화황색소), 녹차다당분말 우유함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=52559
슈퍼콜라겐 골드(66일) (원산지:상세설명참조),"252,000원",10%,4.8,용량 넉넉해요,"AP콜라겐효소분해펩타이드, N-아세틸글루코사민(홍게(국산)), 니코틴산아미드, 황산망간, 비오틴, 정제수, 저분자콜라겐펩타이드-타입Ⅰ, Ⅲ(베트남산), 저분자피쉬콜라겐(베트남산), 콜라겐펩타이드-SP, 구연산, 자일리톨(감미료), 콜라겐펩타이드-타입Ⅱ, 체리라임향혼합제제(프로필렌글리콜, 글리세린, 주정, 트리아세틴, 합성향료, 정제수, 초산, 레몬오일, 비타민E), 맥아추출분말, 비타민C, 함초소금(천일염, 통통마디추출액), 수크랄로스(감미료), 젤란검, 아세설팜칼륨(감미료), 스테비올배당체(감미료), 난각막콜라겐, 호박씨앗추출분말, 엘라스틴펩타이드, 녹차다당체분말, 밀크세라마이드, 히알루론산혼합제제(덱스트린, 히알루론산) 난류(가금류), 게, 닭고기, 우유 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=50054
비타클렌즈 (30입) (원산지:상세설명참조),"50,000원",,5.0,부족했어요,"폴리덱스트로스, 치커리뿌리추출물, 난소화성말토덱스트린(옥수수: 외국산(러시아, 헝가리, 세르비아 등)), 구연산, 비타민미네랄혼합분말(비타민C, 덱스트린, 비타민E혼합제제분말(dl-α-토코페릴아세테이트, 포도당시럽고형분, 변성전분, 이산화규소), 니코틴산아미드 , 판토텐산칼슘, 비타민A혼합제제(포도당시럽고형분, 아라비아검, 옥수수전분, 비타민A초산염, 비타민E), 비오틴혼합분말(비오틴, 덱스트린), 산화아연, 비타민D3혼합제제분말(변성전분, 설탕, 비타민C, MCT 오일, 이산화규소, dl-α-토코페릴아세테이트, 비타민D3), 황산망간, 비타민B6염산염, 비타민B2, 비타민B1염산염, 비타민B12혼합제제분말 (덱스트린, 구연산삼나트륨, 구연산, 비타민B12), 엽산), 자일리톨(감미료), 향료(오렌지향), DL-사과산, L-아르지닌, 산화마그네슘, 스테비올배당체(감미료), 향료(과채클렌즈향), 식물성DHA유지분말(네델란드산), 함초소금(천일염(국산), 퉁퉁마디추출액(국산)), 오렌지과즙분말, 야채혼합농축분말, 울금추출물분말, 프로바이오틱스분말, 수크랄로스(감미료), 구연산삼나트륨, 알긴산나트륨, 해바라기레시틴, 엽산 대두함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67297
굿슬립 가바 365 (14일) (원산지:상세설명참조),"16,000원",20%,4.4,부족했어요,"L-글루탐산발효 가바분말(국내산), 니코틴산아미드, 결정셀룰로오스, 제이인산칼슘, 히드록시프로필메틸셀룰로오스혼합제제(히드록시프로필셀룰로스, 히드록시프로필메틸셀룰로스), 목화씨유분말(경화유)(미국산), 제삼인산칼슘, L아르기닌, 타트체리농축분말(타트체리농축액(폴란드산)), 산화마그네슘, 말토덱스트린혼합제제(말토덱스트린, 해바라기레시틴, 팜올레인, 구아검)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63416
올인원 멀티팩(30일) (원산지:상세설명참조),"135,000원",10%,5.0,적당해요,"정제어유(정제어유, d-토코페롤)(노르웨이산), 제이인산칼슘, 비타민C혼합제제(비타민C, 감귤껍질추출물, 쌀겨왁스), 산화마그네슘, 코엔자임Q10, 마리골드꽃추출물(인도산), 건조효모(셀렌)(캐나다산), 비타민E혼합제제(dl-α-토코페릴아 세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 비타민B1염산염, 비타민B2, 산화아연, 건조효모(크롬), 푸마르산제일철, 비타민D3혼합제제(비타민D3, 아라비아검, 설탕, 옥수수전분, 가 공유지, 이산화규소, 비타민E), 니코틴산아미드, 비타민A아세테이트(비타민A아세테이트, 말토덱스트린, 옥수수전분, 아라비아검, 비타민E), 판토텐산칼슘, 비오틴혼합제제(비오틴, 제이인산칼슘), 비타민B6염산염, 글루콘산동, 황산망간, 비타민B12혼합제제(비타민B12, 말토덱스트린, 구연산삼나트륨, 구연산), 비타 민K1혼합제제(비타민K1, 아라비아검, 설탕), 엽산, 결정셀룰로오 스, 아보카도오일(멕시코산), 치커리뿌리추출물(칠레산), 히드록 시프로필메틸셀룰로오스혼합제제(히드록시프로필메틸셀룰로스, 이소말트(감미료), 탄산칼슘, 스테아린산), 히드록시프로필셀룰로스혼합제제1(히드록시프로필셀룰로스, 이산화규소), 밀납, 스테아린산마그네슘, 가교카복시메틸셀룰로스나트륨, 말토덱스트린혼합제제(말토덱스트린, 해바라기레시틴, 팜올레인유, 구아검), 대두레시틴, 히드록시프로필셀룰로스혼합제제2(히드록시프로필 셀룰로스, 이산화규소), 후추추출물, 레몬오일, 홍화황색소, 치자청색소 캡슐기제 - 젤라틴, 글리세린, 아미드펙틴, D-소비톨(감미료), 안나토색소, 카카오색소, 염화칼슘 대두, 돼지고기 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66541
슈퍼레티놀 30포 (원산지:상세설명참조),"28,000원",,,60g [2gX30포],"리포좀 레티놀+비타민C(비타민C, 자일리톨, L-시스틴, 효소처리저분자오크라뮤신(오크라분말(중국산)), L-트레오닌, 시트러스추출분말(중국산), 판토텐산칼슘, 모링가추출물 (레티놀 5%), 말티톨시럽, 니코틴산아미드, 비타민E혼합제제분말(dl-α-토코페릴아세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 비타민D혼합제제 (변성전분, 설탕, L-아스코브산나트륨, 해바라기유, 비타민E, 비타민D2), 레몬과즙분말(레몬과즙, 덱스트린, 아라비아검), 레시틴, 펄스에너지처리녹차분말, 울금추출물분말, 히알루론산), 자일리톨, 비타민C, 효소처리스테비아, 망고과즙분말(망고퓌레(필리핀산)), 향료(레몬라임향), 함초소금(천일염(국내산), 퉁퉁마디추출액(국내산)), 제삼인산칼슘, 구연산, 향료(자몽분말향), 스테아린산마그네슘, 산화마그네슘, 당류가공품",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67749
메타그린 부스터샷 7일 (원산지:상세설명참조),"28,000원",,,190.33 gl27.19gX7EA,"APIC대두배아열수추출물등복합물(대두배아추출물분말(대두(미국산)), L-카르니틴), 녹차추출물, 판토텐산칼슘, 비타민C, 정제수, 난소화성말토덱스트린(옥수수: 외국산(러시아, 헝가리, 세르비아 등)) ,시트러스농축액(시트러스혼합액(풋귤착즙액 국산))), 푸룬농축액, 구연산, 치커리뿌리추출물, 혼합제제(정제수, 덱스트린, 아라비아검, 유자후레바베이스, 유자향, 레몬라임향, 레몬오일, 합성향료), 구연산삼나트륨, 효소처리스테비아, 프탈산히드록시프로필메틸셀룰로오스, 목화씨유분말(경화유), 젖산칼슘, 펙틴, 함초소금, 제삼인산칼슘, 젤란검, 글리세린지방산에스테르, 구아검 대두함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67748
메타그린 슬림업(30일) 다이어트 비건 기능성 (원산지:상세설명참조),"36,000원",,,25.2 gl 420 mgX 60정,"녹차추출물분말(인도산), 판토텐산칼슘, 비타민C, 치커리뿌리추출물(벨기에산), 프탈산히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 제삼인산칼슘, 글리세린초산지방산에스테르, 구아검",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67747
슈퍼콜라겐 14입 (원산지:상세설명참조),"24,000원",40%,5.0,,"정제수, 저분자피쉬콜라겐펩타이드, 믹스베리농축액 (포도농축액(칠레산), 블루베리농축액(미국산)), 비오틴, 니코틴산아미드, 히알루론산, 엘라스틴펩타이드, 밀크세라마이드, 효모추출물 GT, 비타민C, AP콜라겐효소분해펩타이드, 글루코노델타락톤, 레몬농축액(이스라엘산), 구연산, 자일리톨(감미료), 연어추출물(DNA-Na), 락토바이탈 PDRN, 향료(믹스베리향), 향료(마스킹향), 향료(자몽향), 저분자콜라 겐펩타이드 타입 1,3, 콜라겐펩타이드-type II, 난각막콜라겐, 함초소금(천일염(국내산),퉁퉁마디추출액(국내산)), 젤란검, 수크랄로스(감미료), 아세설팜칼륨(감미료), 스테비올배당체(감미료), 울금추출물분말, 녹차다당분말 [난류(가금류), 닭고기, 우유 함유]",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67586
슈퍼콜라겐 28입X2개 + 월리 우프 무드등  (원산지:상세설명참조),"97,500원",,,(700ml (25ml * 28입)) *2,"정제수, 저분자피쉬콜라겐펩타이드, 믹스베리농축액 (포도농축액(칠레산), 블루베리농축액(미국산)), 비오틴, 니코틴산아미드, 히알루론산, 엘라스틴펩타이드, 밀크세라마이드, 효모추출물 GT, 비타민C, AP콜라겐효소분해펩타이드, 글루코노델타락톤, 레몬농축액(이스라엘산), 구연산, 자일리톨(감미료), 연어추출물(DNA-Na), 락토바이탈 PDRN, 향료(믹스베리향), 향료(마스킹향), 향료(자몽향), 저분자콜라 겐펩타이드 타입 1,3, 콜라겐펩타이드-type II, 난각막콜라겐, 함초소금(천일염(국내산),퉁퉁마디추출액(국내산)), 젤란검, 수크랄로스(감미료), 아세설팜칼륨(감미료), 스테비올배당체(감미료), 울금추출물분말, 녹차다당분말 [난류(가금류), 닭고기, 우유 함유]",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67575
메타그린 슬림업 30일X3개 + 월리 뽀모도로 타이머 & 포스트카드 (원산지:상세설명참조),"75,600원",,,(25.2 gl 420 mgX 60정) *3,"녹차추출물분말(인도산), 판토텐산칼슘, 비타민C, 치커리뿌리추출물(벨기에산), 프탈산히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 제삼인산칼슘, 글리세린초산지방산에스테르, 구아검",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67572
슈퍼레티놀 기획세트 (30포) (원산지:상세설명참조),"58,800원",30%,,(60g [2gX30포])*3box,"리포좀 레티놀+비타민C(비타민C, 자일리톨, L-시스틴, 효소처리저분자오크라뮤신(오크라분말(중국산)), L-트레오닌, 시트러스추출분말(중국산), 판토텐산칼슘, 모링가추출물 (레티놀 5%), 말티톨시럽, 니코틴산아미드, 비타민E혼합제제분말(dl-α-토코페릴아세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 비타민D혼합제제 (변성전분, 설탕, L-아스코브산나트륨, 해바라기유, 비타민E, 비타민D2), 레몬과즙분말(레몬과즙, 덱스트린, 아라비아검), 레시틴, 펄스에너지처리녹차분말, 울금추출물분말, 히알루론산), 자일리톨, 비타민C, 효소처리스테비아, 망고과즙분말(망고퓌레(필리핀산)), 향료(레몬라임향), 함초소금(천일염(국내산), 퉁퉁마디추출액(국내산)), 제삼인산칼슘, 구연산, 향료(자몽분말향), 스테아린산마그네슘, 산화마그네슘, 당류가공품",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67342
슈퍼에센셜 기획세트 (28일) (원산지:상세설명참조),"69,300원",30%,,700 ml (25 ml x 28앰플) + 47.6 g (850 mg x 56정),"AP콜라겐효소분해펩타이드, 비타민C, 푸마르산제일철, 셀레늄혼합제제(아셀렌산나트륨, 옥수수말토덱스트린), 비타민B12혼합분말(비타민B12, 말토덱스트린, 구연산삼나트륨, 구연산), 비타민B1염산염, 니코틴산아미드, 비타민B2, 판토텐산칼슘, 비타민D3혼합제제(비타민D3, 아라비아검, 자당, 옥수수전분, 가공유지, 이산화규소, 비타민E), 비타민B6염산염, 엽산, 비오틴, 정제수, 자일리톨(감미료), 레몬농축액(이스라엘산), 결정셀룰로스, 글루코노-δ-락톤, 히드록시프로필메틸셀룰로스 혼합제제(히드록시프로필메틸셀룰로스, 이소말트(감미료), 탄산칼슘, 스테아린산), 무수구연산, 합성향료(포도향), 스테아린산마그네슘, L-시스틴, 스테아린산, 히드록시프로필메틸셀룰로스, 가교카복시메틸셀룰로스나트륨, 맥아추출분말(영국산), 말토덱스트린 혼합제제(말토덱스트린, 해바라기 레시틴, 해바라기유, 구아검), 제삼인산칼슘, 젤란검, 포도농축액(미국산), 함초소금(천일염, 퉁퉁마디추출액), 밀크세라마이드, 수크랄로스(감미료), 아세설팜칼륨(감미료), 건조효모(크롬), 산화아연, 비타민A혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A 아세테이트, 비타민E), 스테비올배당체(감미료), 히알루론산, 엘라스틴펩타이드, 황산망간, 글루콘산동, 비타민E혼합제제(dl-α-토코페릴아세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 녹차다당분말, 비타민K1혼합제제(아라비아검, 자당, 비타민K1) 대두, 우유 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67341
리버프라임 105일 (원산지:상세설명참조),"148,500원",10%,4.9,,"밀크씨슬추출물분말(이탈리아산), D-α-토코페롤, 비타민B1염산염, 비타민B2, 키토올리고당분말(게(베트남산)), 대두유(외국산: 아르헨티나, 미국, 브라질 등), 유당, 혼합제제(히드록시프로필메틸셀룰로스, 이소말트, 탄산칼슘, 스테아린산), 대두레시틴(고시형), 결정셀룰로오스, 밀납, 대두레시틴, 카르복시메틸셀룰로오스칼슘, 이산화규소, 스테아린산마그네슘, 치자황색소, 카카오색소 *캡슐기제- 젤라틴, 글리세린, D-소르비톨액, 안나토색소 대두, 게, 우유, 돼지고기 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66797
오메가케어 3입세트(105일) (원산지:상세설명참조),"135,000원",10%,4.7,용량 넉넉해요,"정제어유(정제어유,D-토코페롤)(노르웨이산), 밀납, 보라지유(영국산), 레몬오일, D-α-토코페롤 캡슐기제 젤라틴, 글리세린, D-소르비톨액, 카카오색소, 오징어 먹물색소 대두, 돼지고기, 오징어, 고등어 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66693
NEW 슈퍼시카 B5 (30입) (원산지:상세설명참조),"63,000원",25%,4.6,적당해요,"리포좀 시카 B5(판토텐산)(밀크세라마이드(버터유분말(독일산)), 자일리톨(감미료), 판토텐산칼슘, 비타민C, 시클로덱스트린시럽, 말티톨시럽(감미료), 니코틴산아미드, 건조효모(셀렌)(캐나다산), 비타민D3혼합제제(아라비아검, 설탕, 옥수수전분, 폴리글리세린지방산에스테르, 이산화규소, 비타민D3, 비타민E), 레시틴, 비오틴혼합제제(제이인산칼슘, 비오틴), 수크랄로스(감미료), 락토바이탈 PDRN, 병풀추출물, 어성초추출분말, 히비스커스추출혼합분말), 자일리톨(감미료), 에리스리톨(감미료), 효소처리스테비아1(감미료), 리치향, Lactiplantibacillus plantarum APSulloc 331261, 레몬과즙분말(레몬과즙(이탈리아산)), 요구르트향분말(요구르트향(이탈리아산), 요거트분말(이탈리아산)), 효소처리스테비아2(감미료), 글루코노-δ-락톤, 구연산, 탄산수소나트륨, 레몬향혼합제제(덱스트린, 레몬오일, 아라비아검, 구연산, 펙틴, 구연산삼나트륨), 제삼인삼칼슘, 수크랄로스(감미료) 우유함유 당알코올(자일리톨 36.25%, 에리스리톨 7%, 말티톨시럽 1.03%), 당알코올 함유 제품으로 과량 섭취 시 설사를 일으킬 수 있습니다.",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66599
메타그린 슬림업(30일) (원산지:상세설명참조),"75,600원",30%,4.8,적당해요,"녹차추출물분말(인도산), 판토텐산칼슘, 비타민C, 치커리뿌리추출물(벨기에산), 프탈산히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 제삼인산칼슘, 글리세린초산지방산에스테르, 구아검",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66539
메타그린 슬림업(30일) (원산지:상세설명참조),"61,200원",15%,4.9,용량 넉넉해요,"녹차추출물분말(인도산), 판토텐산칼슘, 비타민C, 치커리뿌리추출물(벨기에산), 프탈산히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 제삼인산칼슘, 글리세린초산지방산에스테르, 구아검",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66538
메타그린 부스터샷 7일 (원산지:상세설명참조),"67,200원",20%,4.9,적당해요,"APIC대두배아열수추출물등복합물(대두배아추출물분말(대두(미국산)), L-카르니틴), 녹차추출물, 판토텐산칼슘, 비타민C, 정제수, 난소화성말토덱스트린(옥수수: 외국산(러시아, 헝가리, 세르비아 등)) ,시트러스농축액(시트러스혼합액(풋귤착즙액 국산))), 푸룬농축액, 구연산, 치커리뿌리추출물, 혼합제제(정제수, 덱스트린, 아라비아검, 유자후레바베이스, 유자향, 레몬라임향, 레몬오일, 합성향료), 구연산삼나트륨, 효소처리스테비아, 프탈산히드록시프로필메틸셀룰로오스, 목화씨유분말(경화유), 젖산칼슘, 펙틴, 함초소금, 제삼인산칼슘, 젤란검, 글리세린지방산에스테르, 구아검 대두함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66537
메타그린 부스터샷 7일 (원산지:상세설명참조),"47,600원",15%,4.7,용량 넉넉해요,"APIC대두배아열수추출물등복합물(대두배아추출물분말(대두(미국산)), L-카르니틴), 녹차추출물, 판토텐산칼슘, 비타민C, 정제수, 난소화성말토덱스트린(옥수수: 외국산(러시아, 헝가리, 세르비아 등)) ,시트러스농축액(시트러스혼합액(풋귤착즙액 국산))), 푸룬농축액, 구연산, 치커리뿌리추출물, 혼합제제(정제수, 덱스트린, 아라비아검, 유자후레바베이스, 유자향, 레몬라임향, 레몬오일, 합성향료), 구연산삼나트륨, 효소처리스테비아, 프탈산히드록시프로필메틸셀룰로오스, 목화씨유분말(경화유), 젖산칼슘, 펙틴, 함초소금, 제삼인산칼슘, 젤란검, 글리세린지방산에스테르, 구아검 대두함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66536
메타그린 효소 (14입) (원산지:상세설명참조),"73,600원",20%,4.9,적당해요,"메타프로효소포뮬라{노란콩(국산), 탈지 대두(인도산), 백미, 효소식품, 기타가공품}, 락티톨 29%, 식물성크림[물엿, 식물성경화유지{코코넛오일 (외국산 : 인도네시아산, 말레이시아산, 필리핀산 등)}, 농축우유단백분말(오스트리아산), 제이인산칼륨, 제 삼인산칼슘, 정제소금, 글리세린지방산에스테르, 글리세린디아세틸주석산지방산에스테르, 탄산수소나트륨, 무지방우유], 자일리톨 9%, 오곡분말{현미, 보리, 조, 수수, 찰현미 국산}, 효소식품 1, 분리대두단백, 곡물 향혼합제제{혼합제제(덱스트린, 주정, 아라비아검, 합성향료, 프로필렌글리콜, 젖산), 덱스트린}, 6종혼합유산균, 이산화규소, 효소식품 2, 푸룬과즙분말, 귀리식이섬유, 이눌린치커리추출물, 난소화성말토덱스트린, 효소처리스테비아, 건조맥주효모, 아미노산혼합분말(L-페닐알라닌, L-로이신, L-메티오닌, L-라이신염산 염, 팔라티노스, L-이소로이신, L-발린, L-히스티딘, L-트레오닌, L-트립토판), 비타민무기질혼합제제{제이인산칼슘, 비타민C, 비타민E혼합제제(dl-α-토코페릴초산염, 변성전분, 포도당시럽분말, 이산화규소), 푸마르산제일철, 니코틴산아미드, 산화아연, 비타민A혼합제제(포도당시럽분말, 아라비아검, 옥수수전분, 비타민A아세테이트, dl-α-토코페롤), 판토텐산칼슘, 비타민B6염산염, 비타민B1염산염, 비타민B2, 엽산, 비오 틴}, 향료(천연티분말향) 우유, 대두, 밀, 메밀, 토마토 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65893
메타그린 부스터샷 7일 (원산지:상세설명참조),"168,000원",25%,4.6,용량 넉넉해요,"APIC대두배아열수추출물등복합물(대두배아추출물분말(대두(미국산)), L-카르니틴), 녹차추출물, 판토텐산칼슘, 비타민C, 정제수, 난소화성말토덱스트린(옥수수: 외국산(러시아, 헝가리, 세르비아 등)) ,시트러스농축액(시트러스혼합액(풋귤착즙액 국산))), 푸룬농축액, 구연산, 치커리뿌리추출물, 혼합제제(정제수, 덱스트린, 아라비아검, 유자후레바베이스, 유자향, 레몬라임향, 레몬오일, 합성향료), 구연산삼나트륨, 효소처리스테비아, 프탈산히드록시프로필메틸셀룰로오스, 목화씨유분말(경화유), 젖산칼슘, 펙틴, 함초소금, 제삼인산칼슘, 젤란검, 글리세린지방산에스테르, 구아검 대두함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64336
메타그린 부스터샷 7일 (원산지:상세설명참조),"78,400원",30%,4.7,용량 넉넉해요,"APIC대두배아열수추출물등복합물(대두배아추출물분말(대두(미국산)), L-카르니틴), 녹차추출물, 판토텐산칼슘, 비타민C, 정제수, 난소화성말토덱스트린(옥수수: 외국산(러시아, 헝가리, 세르비아 등)) ,시트러스농축액(시트러스혼합액(풋귤착즙액 국산))), 푸룬농축액, 구연산, 치커리뿌리추출물, 혼합제제(정제수, 덱스트린, 아라비아검, 유자후레바베이스, 유자향, 레몬라임향, 레몬오일, 합성향료), 구연산삼나트륨, 효소처리스테비아, 프탈산히드록시프로필메틸셀룰로오스, 목화씨유분말(경화유), 젖산칼슘, 펙틴, 함초소금, 제삼인산칼슘, 젤란검, 글리세린지방산에스테르, 구아검 대두함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64247
메타그린 클린티 10입 (원산지:상세설명참조),"60,000원",20%,4.8,,"구연산, 구연산칼륨, 용성비타민P, 향료(레몬향), 올리브잎추출물(올리브잎추출물, 말토덱스트린)(스페인산), 파인애플추출분말(인도산), 향료(복숭아향분말), 레몬농축분말(레몬농축액: 이탈리아산), 함초소금, 산화마그네슘, 수크랄로스(감미료), 아세설팜칼륨(감미료), 스테비올배당체(감미료), 레몬농축분말, 필발추출물, 구아검",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64220
슈퍼레티놀 30포 (원산지:상세설명참조),"67,200원",20%,4.8,,"리포좀 레티놀+비타민C(비타민C, 자일리톨, L-시스틴, 효소처리저분자오크라뮤신(오크라분말(중국산)), L-트레오닌, 시트러스추출분말(중국산), 판토텐산칼슘, 모링가추출물 (레티놀 5%), 말티톨시럽, 니코틴산아미드, 비타민E혼합제제분말(dl-α-토코페릴아세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 비타민D혼합제제 (변성전분, 설탕, L-아스코브산나트륨, 해바라기유, 비타민E, 비타민D2), 레몬과즙분말(레몬과즙, 덱스트린, 아라비아검), 레시틴, 펄스에너지처리녹차분말, 울금추출물분말, 히알루론산), 자일리톨, 비타민C, 효소처리스테비아, 망고과즙분말(망고퓌레(필리핀산)), 향료(레몬라임향), 함초소금(천일염(국내산), 퉁퉁마디추출액(국내산)), 제삼인산칼슘, 구연산, 향료(자몽분말향), 스테아린산마그네슘, 산화마그네슘, 당류가공품",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64168
슈퍼콜라겐 28입 (원산지:상세설명참조),"157,500원",30%,4.9,,"정제수, 저분자피쉬콜라겐펩타이드, 믹스베리농축액 (포도농축액(칠레산), 블루베리농축액(미국산)), 비오틴, 니코틴산아미드, 히알루론산, 엘라스틴펩타이드, 밀크세라마이드, 효모추출물 GT, 비타민C, AP콜라겐효소분해펩타이드, 글루코노델타락톤, 레몬농축액(이스라엘산), 구연산, 자일리톨(감미료), 연어추출물(DNA-Na), 락토바이탈 PDRN, 향료(믹스베리향), 향료(마스킹향), 향료(자몽향), 저분자콜라 겐펩타이드 타입 1,3, 콜라겐펩타이드-type II, 난각막콜라겐, 함초소금(천일염(국내산),퉁퉁마디추출액(국내산)), 젤란검, 수크랄로스(감미료), 아세설팜칼륨(감미료), 스테비올배당체(감미료), 울금추출물분말, 녹차다당분말 [난류(가금류), 닭고기, 우유 함유]",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64167
